date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:49:36	29231/29231	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Oct%202018%2015:29:04%20GMT	http://tavonline.net/html/mat/default/images/blogs/blog-6.jpg	D:/FAJRI/tavonline/tavonline.net/html/mat/default/images/blogs/blog-6.jpg	(from http://tavonline.net/html/mat/default/index.html)
11:49:37	1639/1639	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Oct%202018%2015:28:29%20GMT	http://tavonline.net/html/mat/default/load-more/blog-posts.html	D:/FAJRI/tavonline/tavonline.net/html/mat/default/load-more/blog-posts.html	(from http://tavonline.net/html/mat/default/index.html)
11:49:37	25895/25895	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Oct%202018%2015:29:05%20GMT	http://tavonline.net/html/mat/default/images/blogs/blog-4.jpg	D:/FAJRI/tavonline/tavonline.net/html/mat/default/images/blogs/blog-4.jpg	(from http://tavonline.net/html/mat/default/index.html)
11:49:37	16036/16036	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Oct%202018%2015:29:05%20GMT	http://tavonline.net/html/mat/default/images/blogs/blog-5.jpg	D:/FAJRI/tavonline/tavonline.net/html/mat/default/images/blogs/blog-5.jpg	(from http://tavonline.net/html/mat/default/index.html)
11:49:38	9376/9376	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2003%20Oct%202018%2015:28:52%20GMT	http://tavonline.net/html/mat/default/js/jquery.easytabs.min.js	D:/FAJRI/tavonline/tavonline.net/html/mat/default/js/jquery.easytabs.min.js	(from http://tavonline.net/html/mat/default/index.html)
11:49:39	37045/37045	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2003%20Oct%202018%2015:28:51%20GMT	http://tavonline.net/html/mat/default/js/bootstrap.min.js	D:/FAJRI/tavonline/tavonline.net/html/mat/default/js/bootstrap.min.js	(from http://tavonline.net/html/mat/default/index.html)
11:49:39	23890/23890	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2003%20Oct%202018%2015:28:51%20GMT	http://tavonline.net/html/mat/default/js/owl.carousel.min.js	D:/FAJRI/tavonline/tavonline.net/html/mat/default/js/owl.carousel.min.js	(from http://tavonline.net/html/mat/default/index.html)
11:49:40	4706/4706	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2003%20Oct%202018%2015:28:51%20GMT	http://tavonline.net/html/mat/default/js/main.js	D:/FAJRI/tavonline/tavonline.net/html/mat/default/js/main.js	(from http://tavonline.net/html/mat/default/index.html)
11:49:40	1300/1300	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2003%20Oct%202018%2015:28:52%20GMT	http://tavonline.net/html/mat/default/js/jquery.cookie-1.4.1.min.js	D:/FAJRI/tavonline/tavonline.net/html/mat/default/js/jquery.cookie-1.4.1.min.js	(from http://tavonline.net/html/mat/default/index.html)
11:49:40	80990/80990	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2003%20Oct%202018%2015:29:59%20GMT	http://tavonline.net/html/mat/default/cubeportfolio/js/jquery.cubeportfolio.min.js	D:/FAJRI/tavonline/tavonline.net/html/mat/default/cubeportfolio/js/jquery.cubeportfolio.min.js	(from http://tavonline.net/html/mat/default/index.html)
11:49:40	3294/3294	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2003%20Oct%202018%2015:28:51%20GMT	http://tavonline.net/html/mat/default/js/Demo.js	D:/FAJRI/tavonline/tavonline.net/html/mat/default/js/Demo.js	(from http://tavonline.net/html/mat/default/index.html)
11:49:40	612/612	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Oct%202018%2015:28:34%20GMT	http://tavonline.net/html/mat/default/css/Demo.min.css	D:/FAJRI/tavonline/tavonline.net/html/mat/default/css/Demo.min.css	(from http://tavonline.net/html/mat/default/index.html)
11:49:41	84345/84345	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2003%20Oct%202018%2015:28:53%20GMT	http://tavonline.net/html/mat/default/js/jquery-2.1.4.min.js	D:/FAJRI/tavonline/tavonline.net/html/mat/default/js/jquery-2.1.4.min.js	(from http://tavonline.net/html/mat/default/index.html)
11:49:41	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Dec%202018%2004:49:41%20GMT	http://tavonline.net/html/mat/default/fonts/glyphicons-halflings-regular.eot	D:/FAJRI/tavonline/tavonline.net/html/mat/default/fonts/glyphicons-halflings-regular.eot	(from http://tavonline.net/html/mat/default/css/bootstrap.css)
11:49:41	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Dec%202018%2004:49:41%20GMT	http://tavonline.net/html/mat/default/fonts/glyphicons-halflings-regular.eot?	D:/FAJRI/tavonline/tavonline.net/html/mat/default/fonts/glyphicons-halflings-regulard41d.eot	(from http://tavonline.net/html/mat/default/css/bootstrap.css)
11:49:42	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Dec%202018%2004:49:42%20GMT	http://tavonline.net/html/mat/default/fonts/glyphicons-halflings-regular.woff2	D:/FAJRI/tavonline/tavonline.net/html/mat/default/fonts/glyphicons-halflings-regular.woff2	(from http://tavonline.net/html/mat/default/css/bootstrap.css)
11:49:42	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Dec%202018%2004:49:42%20GMT	http://tavonline.net/html/mat/default/fonts/glyphicons-halflings-regular.woff	D:/FAJRI/tavonline/tavonline.net/html/mat/default/fonts/glyphicons-halflings-regular.woff	(from http://tavonline.net/html/mat/default/css/bootstrap.css)
11:49:43	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Dec%202018%2004:49:43%20GMT	http://tavonline.net/html/mat/default/fonts/glyphicons-halflings-regular.ttf	D:/FAJRI/tavonline/tavonline.net/html/mat/default/fonts/glyphicons-halflings-regular.ttf	(from http://tavonline.net/html/mat/default/css/bootstrap.css)
11:49:43	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Dec%202018%2004:49:43%20GMT	http://tavonline.net/html/mat/default/fonts/glyphicons-halflings-regular.svg	D:/FAJRI/tavonline/tavonline.net/html/mat/default/fonts/glyphicons-halflings-regular.svg	(from http://tavonline.net/html/mat/default/css/bootstrap.css)
11:49:44	8717/8717	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Oct%202018%2015:30:01%20GMT	http://tavonline.net/html/mat/default/cubeportfolio/img/cbp-sprite.png	D:/FAJRI/tavonline/tavonline.net/html/mat/default/cubeportfolio/img/cbp-sprite.png	(from http://tavonline.net/html/mat/default/cubeportfolio/css/cubeportfolio.min.css)
11:49:44	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Dec%202018%2004:49:44%20GMT	http://tavonline.net/html/mat/default/css/AjaxLoader.gif	D:/FAJRI/tavonline/tavonline.net/html/mat/default/css/AjaxLoader.gif	(from http://tavonline.net/html/mat/default/css/owl.theme.css)
11:49:44	1762/1762	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Oct%202018%2015:28:48%20GMT	http://tavonline.net/html/mat/default/images/spinner.jpg	D:/FAJRI/tavonline/tavonline.net/html/mat/default/images/spinner.jpg	(from http://tavonline.net/html/mat/default/css/style.css)
11:49:45	18147/18147	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Oct%202018%2015:28:39%20GMT	http://tavonline.net/html/mat/default/images/glasses-w.png	D:/FAJRI/tavonline/tavonline.net/html/mat/default/images/glasses-w.png	(from http://tavonline.net/html/mat/default/css/style.css)
11:49:45	2975/2975	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Oct%202018%2015:28:45%20GMT	http://tavonline.net/html/mat/default/images/sprite.png	D:/FAJRI/tavonline/tavonline.net/html/mat/default/images/sprite.png	(from http://tavonline.net/html/mat/default/css/style.css)
11:49:45	2401/2401	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Oct%202018%2015:28:49%20GMT	http://tavonline.net/html/mat/default/images/glasses.png	D:/FAJRI/tavonline/tavonline.net/html/mat/default/images/glasses.png	(from http://tavonline.net/html/mat/default/css/colors/yellow.css)
11:49:59	77160/77160	---M--	200	added ('OK')	font/woff2	date:Wed,%2003%20Oct%202018%2015:31:47%20GMT	http://tavonline.net/html/mat/default/icon-fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0	D:/FAJRI/tavonline/tavonline.net/html/mat/default/icon-fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.woff2	(from http://tavonline.net/html/mat/default/icon-fonts/font-awesome-4.7.0/css/font-awesome.min.css)
11:50:03	98024/98024	---M--	200	added ('OK')	font/woff	date:Wed,%2003%20Oct%202018%2015:31:49%20GMT	http://tavonline.net/html/mat/default/icon-fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.woff?v=4.7.0	D:/FAJRI/tavonline/tavonline.net/html/mat/default/icon-fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.woff	(from http://tavonline.net/html/mat/default/icon-fonts/font-awesome-4.7.0/css/font-awesome.min.css)
11:50:05	444379/444379	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2003%20Oct%202018%2015:31:48%20GMT	http://tavonline.net/html/mat/default/icon-fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.svg?v=4.7.0	D:/FAJRI/tavonline/tavonline.net/html/mat/default/icon-fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.svg	(from http://tavonline.net/html/mat/default/icon-fonts/font-awesome-4.7.0/css/font-awesome.min.css)
